printable_id,route,prose_summary,missing_verified_fields,unapproved_candidates,review_reason
chibi__chibi-animals-pets-dogs-irish-setter__c7dd78cd9b,/printables/animals/chibi-animals-pets-dogs-irish-setter-c7dd78cd9b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-irish-wolfhound__3ede5fe21f,/printables/animals/chibi-animals-pets-dogs-irish-wolfhound-3ede5fe21f,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-italian-greyhound__f68857ba7b,/printables/animals/chibi-animals-pets-dogs-italian-greyhound-f68857ba7b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-jack-russell-terrier__90937679a3,/printables/animals/chibi-animals-pets-dogs-jack-russell-terrier-90937679a3,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-komondor__27f9215999,/printables/animals/chibi-animals-pets-dogs-komondor-27f9215999,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-labrador-retriever__03ad00c638,/printables/animals/chibi-animals-pets-dogs-labrador-retriever-03ad00c638,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-leonberger__2f6bd298e0,/printables/animals/chibi-animals-pets-dogs-leonberger-2f6bd298e0,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-lhasa-apso__a5d275e1b8,/printables/animals/chibi-animals-pets-dogs-lhasa-apso-a5d275e1b8,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-maltese__4563d51e2b,/printables/animals/chibi-animals-pets-dogs-maltese-4563d51e2b,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-miniature-schnauzer__b7705a66c9,/printables/animals/chibi-animals-pets-dogs-miniature-schnauzer-b7705a66c9,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-newfoundland__9c1bdc2e1c,/printables/animals/chibi-animals-pets-dogs-newfoundland-9c1bdc2e1c,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-old-english-sheepdog__ff97a096c3,/printables/animals/chibi-animals-pets-dogs-old-english-sheepdog-ff97a096c3,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-papillon__db23515839,/printables/animals/chibi-animals-pets-dogs-papillon-db23515839,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-pekingese__8499e79c02,/printables/animals/chibi-animals-pets-dogs-pekingese-8499e79c02,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-pembroke-welsh-corgi__c7ab230ca8,/printables/animals/chibi-animals-pets-dogs-pembroke-welsh-corgi-c7ab230ca8,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
chibi__chibi-animals-pets-dogs-pomeranian__f923ab7c32,/printables/animals/chibi-animals-pets-dogs-pomeranian-f923ab7c32,present,seasonal|detail|audience,Coloring Pages for Kids|Easy,audience/detail candidate lacks independent review
